Unnamed: 0,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
427,577,David Neres,80,86,75,75,86,43,64,87,85,74,74,79,75,74,69,79,73,52,78,69,79,86,88,87,78,85,85,44,45,47,41,34,70,73,64,53,LM,3,5,Left,"175cm / 5'9""",69kg / 152lb,"RM, CAM, LW",27,Brazil,Serie A Enilive,SSC Napoli,"Finesse Shot, Flair, Quick Step, Trickster, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/david-neres/236632,,,,,
429,577,Mario Pašalić,80,69,78,77,81,67,77,68,69,85,80,78,76,73,61,78,68,59,83,80,69,83,72,53,74,87,77,72,65,61,72,64,75,83,75,76,CM,4,4,Right,"188cm / 6'2""",82kg / 181lb,CAM,29,Croatia,Serie A Enilive,Bergamo Calcio,Trivela,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mario-pasalic/223273,,,,,
431,577,Matteo Politano,80,80,78,78,83,42,54,81,79,76,78,78,80,75,70,74,80,77,80,76,79,81,89,88,81,83,79,38,40,63,29,29,53,75,40,63,RW,4,4,Left,"171cm / 5'7""",65kg / 143lb,RM,31,Italy,Serie A Enilive,SSC Napoli,"Technical, Trivela, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/matteo-politano/216409,,,,,
433,577,Amir Rrahmani,80,69,51,58,61,82,78,48,86,49,43,60,66,39,34,48,49,41,69,65,49,59,48,47,79,66,70,82,78,83,83,81,79,67,83,81,CB,4,2,Right,"192cm / 6'4""",75kg / 165lb,,30,Kosovo,Serie A Enilive,SSC Napoli,"Aerial, Long Ball Pass, Long Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/amir-rrahmani/244263,,,,,
443,577,Mehdi Taremi,80,78,79,75,81,38,73,79,77,84,84,75,72,75,85,81,70,49,81,67,74,81,74,65,82,84,84,23,75,38,41,25,80,80,80,46,ST,4,4,Right,"185cm / 6'1""",83kg / 183lb,,32,Iran,Serie A Enilive,Lombardia FC,"First Touch, Flair, Press Proven",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mehdi-taremi/241788,,,,,
458,577,André-Franck Zambo Anguissa,80,75,67,71,76,77,88,75,75,78,64,74,71,54,60,74,62,46,78,75,59,75,75,76,84,76,80,79,69,79,78,75,84,92,87,85,CDM,3,3,Right,"184cm / 6'0""",83kg / 183lb,CM,28,Cameroon,Serie A Enilive,SSC Napoli,"Anticipate, Block, Intercept, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/andre-franck-zambo-anguissa/227236,,,,,
467,736,Emil Audero,79,80,74,73,83,53,76,55,49,8,16,55,19,18,22,30,13,12,29,19,12,19,53,51,76,18,56,11,19,10,10,10,67,25,55,24,GK,2,1,Right,"192cm / 6'4""",83kg / 183lb,,27,Italy,Serie A Enilive,Como,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/emil-audero/228413,80,74,73,76,83
479,736,Cristiano Biraghi,79,72,69,78,76,76,73,73,72,75,58,82,80,54,76,72,85,88,77,75,82,76,71,74,79,78,82,77,70,79,76,74,75,81,68,76,LB,3,3,Left,"185cm / 6'1""",78kg / 172lb,,32,Italy,Serie A Enilive,Fiorentina,"Dead Ball, Long Ball Pass, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/cristiano-biraghi/201389,,,,,
488,736,Valentin Castellanos,79,72,79,69,75,42,77,73,72,83,82,79,73,75,73,74,58,61,78,61,65,76,70,66,79,77,75,29,82,43,37,39,84,86,68,84,ST,3,3,Right,"178cm / 5'10""",70kg / 154lb,,25,Argentina,Serie A Enilive,Latium,"Flair, Power Header, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/valentin-castellanos/237712,,,,,
494,736,Charles De Ketelaere,79,69,77,78,81,55,70,70,69,79,76,80,77,76,67,82,75,72,79,78,73,83,78,66,76,84,72,58,75,45,58,54,77,83,68,55,CAM,3,4,Left,"192cm / 6'4""",79kg / 174lb,ST,23,Belgium,Serie A Enilive,Bergamo Calcio,Flair,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/charles-de-ketelaere/251470,,,,,
495,736,Marten de Roon,79,64,71,75,75,82,83,58,68,70,66,77,77,63,80,70,68,54,84,83,61,75,59,72,78,78,83,84,75,82,84,79,78,91,79,84,CM,3,3,Right,"185cm / 6'1""",76kg / 168lb,"CDM, CB",33,Holland,Serie A Enilive,Bergamo Calcio,"Long Ball Pass, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marten-de-roon/208461,,,,,
499,736,Boulaye Dia,79,81,80,62,77,27,75,78,83,78,83,84,69,75,81,65,50,49,72,54,56,78,73,70,78,77,75,23,74,28,17,14,87,70,81,62,ST,3,3,Right,"180cm / 5'11""",75kg / 165lb,,27,Senegal,Serie A Enilive,Latium,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/boulaye-dia/246242,,,,,
509,736,Stephan El Shaarawy,79,82,75,76,83,49,62,83,82,76,72,75,78,85,72,78,76,72,77,70,85,83,92,80,76,83,77,36,65,65,42,35,77,66,63,51,LM,3,4,Right,"178cm / 5'10""",73kg / 161lb,"LW, CAM",31,Italy,Serie A Enilive,AS Roma,"Finesse Shot, Rapid",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/stephan-el-shaarawy/190813,,,,,
512,736,Lewis Ferguson,79,75,78,75,80,73,82,74,75,84,78,78,76,76,80,79,67,67,79,76,69,79,78,76,74,83,75,74,76,70,74,69,84,94,75,85,CM,4,3,Right,"181cm / 5'11""",75kg / 165lb,CAM,25,Scotland,Serie A Enilive,Bologna,"Anticipate, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lewis-ferguson/242280,,,,,
524,736,Robin Gosens,79,72,74,73,75,76,80,76,69,79,78,76,68,69,55,67,76,58,77,75,69,75,71,67,79,77,77,76,79,73,77,80,88,87,76,80,LB,3,3,Left,"183cm / 6'0""",76kg / 168lb,LM,30,Germany,Serie A Enilive,Fiorentina,"Block, Slide Tackle",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/robin-gosens/223697,,,,,
533,736,Luka Jović,79,75,79,68,79,30,72,76,74,80,80,81,75,81,66,70,67,56,72,61,77,78,74,81,80,80,81,23,82,25,26,16,90,63,79,62,ST,5,3,Right,"181cm / 5'11""",85kg / 187lb,,26,Serbia,Serie A Enilive,Milano FC,Chip Shot,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luka-jovic/232432,,,,,
537,736,Sead Kolašinac,79,64,63,67,68,79,83,59,68,69,60,75,58,55,54,65,73,42,72,63,61,67,57,53,79,72,70,78,74,80,80,79,82,70,88,87,CB,2,2,Left,"183cm / 6'0""",85kg / 187lb,LB,31,Bosnia and Herzegovina,Serie A Enilive,Bergamo Calcio,Bruiser,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sead-kolasinac/207993,,,,,
541,736,Manuel Lazzari,79,93,62,76,82,70,66,92,93,74,67,53,57,59,55,74,83,58,78,75,68,82,89,89,78,81,76,73,44,72,75,69,66,85,56,66,RB,3,3,Right,"174cm / 5'9""",67kg / 148lb,,30,Italy,Serie A Enilive,Latium,"Quick Step, Rapid",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/manuel-lazzari/235374,,,,,
560,736,Adam Marušić,79,87,66,67,74,76,80,86,87,69,56,79,77,68,58,60,76,54,71,55,76,75,64,76,76,76,75,76,76,75,76,75,92,80,81,76,LB,4,3,Right,"185cm / 6'1""",81kg / 179lb,RB,31,Montenegro,Serie A Enilive,Latium,"Long Throw, Rapid",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/adam-marusic/224031,,,,,
580,736,Mattia Perin,79,79,79,71,81,57,79,57,56,12,11,53,17,19,21,44,11,13,33,31,15,19,53,30,74,23,65,19,12,20,12,19,63,30,52,25,GK,3,1,Right,"188cm / 6'2""",77kg / 170lb,,31,Italy,Serie A Enilive,Juventus,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mattia-perin/198009,79,79,71,79,81
581,736,Matteo Pessina,79,68,70,77,78,72,71,64,72,74,70,74,68,68,64,80,70,60,83,76,76,80,68,65,78,82,78,72,63,74,74,70,69,86,65,70,CM,2,3,Left,"187cm / 6'2""",77kg / 170lb,"CDM, CAM",27,Italy,Serie A Enilive,Monza,"Anticipate, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/matteo-pessina/239613,,,,,
595,736,Gianluca Scamacca,79,65,81,67,74,36,74,61,69,80,83,83,78,79,68,71,44,68,75,70,69,74,61,59,76,80,79,26,83,40,28,20,87,61,85,58,ST,3,3,Right,"195cm / 6'5""",85kg / 187lb,,25,Italy,Serie A Enilive,Bergamo Calcio,Power Header,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gianluca-scamacca/226710,,,,,
596,736,Perr Schuurs,79,69,64,74,69,81,74,61,76,44,57,85,70,52,57,70,69,71,78,77,68,68,62,34,75,75,77,82,75,80,83,80,79,73,76,70,CB,3,2,Right,"191cm / 6'3""",85kg / 187lb,,24,Holland,Serie A Enilive,Torino,Block,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/perr-schuurs/241854,,,,,
598,736,Mário Rui,79,80,56,77,80,74,68,81,79,64,42,69,73,57,60,69,82,74,79,76,76,78,87,87,76,80,71,78,60,74,76,75,71,83,55,80,LB,3,3,Left,"170cm / 5'7""",67kg / 148lb,,33,Portugal,Serie A Enilive,SSC Napoli,Rapid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mario-rui/204614,,,,,
600,736,Łukasz Skorupski,79,79,76,68,83,51,78,51,51,13,11,51,15,17,22,32,19,19,35,26,12,18,48,38,76,23,58,17,10,18,12,12,63,31,58,33,GK,3,1,Right,"188cm / 6'2""",90kg / 198lb,,33,Poland,Serie A Enilive,Bologna,"Far Reach, Far Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ukasz-skorupski/189908,79,76,68,78,83
602,736,Leonardo Spinazzola,79,88,65,74,79,76,69,86,89,77,60,71,68,64,59,76,79,45,76,69,66,80,78,68,79,80,75,78,69,75,79,75,80,69,67,71,LM,4,4,Right,"186cm / 6'1""",75kg / 165lb,"LB, LW",31,Italy,Serie A Enilive,SSC Napoli,"Quick Step, Rapid, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/leonardo-spinazzola/202884,,,,,
604,736,Pietro Terracciano,79,80,77,73,83,41,79,40,42,12,11,55,11,16,22,42,13,12,27,21,12,15,41,45,70,22,63,16,15,20,11,19,63,33,60,19,GK,2,1,Right,"193cm / 6'4""",78kg / 172lb,,34,Italy,Serie A Enilive,Fiorentina,"1v1 Close Down, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/pietro-terracciano/205812,80,77,73,79,83
609,736,Rafael Tolói,79,61,52,58,64,81,79,57,64,40,40,75,62,30,64,50,44,65,69,68,41,58,59,66,78,70,84,80,82,80,82,79,82,77,78,81,CB,3,2,Right,"185cm / 6'1""",75kg / 165lb,,33,Italy,Serie A Enilive,Bergamo Calcio,"Bruiser, Intercept, Jockey",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rafael-toloi/187598,,,,,
611,736,Nikola Vlašić,79,75,76,76,82,58,72,77,73,76,74,80,80,71,66,78,71,72,80,74,70,83,77,88,77,83,77,65,65,54,62,37,76,75,68,75,CAM,5,3,Right,"179cm / 5'10""",79kg / 174lb,"RW, LW",26,Croatia,Serie A Enilive,Torino,"Anticipate, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nikola-vlasic/241095,,,,,
617,736,Davide Zappacosta,79,76,68,74,75,76,70,77,75,74,60,78,74,69,59,68,83,59,77,69,76,77,69,67,73,75,73,77,69,75,77,78,75,79,63,75,LB,3,3,Right,"182cm / 6'0""",75kg / 165lb,"LM, RM",32,Italy,Serie A Enilive,Bergamo Calcio,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/davide-zappacosta/216150,,,,,
621,736,Carlos Augusto,79,81,72,77,80,75,80,80,81,78,68,79,77,73,52,76,79,74,78,74,77,80,79,76,76,81,77,75,72,75,76,76,86,84,78,78,LM,2,3,Left,"184cm / 6'0""",75kg / 165lb,"LB, LW",25,Brazil,Serie A Enilive,Lombardia FC,Relentless,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/carlos-augusto/258648,,,,,
622,970,Saud Abdulhamid,78,92,46,67,72,71,77,91,92,75,41,53,45,35,48,59,75,43,71,67,62,74,82,87,72,66,64,74,61,69,76,70,73,94,70,75,RB,3,3,Right,"175cm / 5'9""",70kg / 154lb,,25,Saudi Arabia,Serie A Enilive,AS Roma,"Long Throw+, Quick Step, Rapid, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/saud-abdulhamid/246688,,,,,
623,970,Tammy Abraham,78,78,76,65,75,36,77,75,81,79,77,80,68,80,79,76,53,55,74,53,55,77,61,53,80,78,80,25,81,40,29,20,92,66,85,68,ST,3,3,Right,"195cm / 6'5""",86kg / 190lb,,26,England,Serie A Enilive,Milano FC,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/tammy-abraham/231352,,,,,
634,970,Antonín Barák,78,69,77,79,79,65,73,70,68,79,76,82,78,72,70,78,77,72,81,79,77,80,72,69,77,83,80,64,68,61,67,65,76,80,73,64,CM,3,4,Left,"190cm / 6'3""",86kg / 190lb,CAM,29,Czech Republic,Serie A Enilive,Fiorentina,"Flair, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/antonin-barak/236791,,,,,
640,970,Andrea Belotti,78,69,77,58,75,38,80,66,71,84,79,80,67,79,74,61,42,56,68,48,64,75,72,77,79,75,81,31,84,44,23,32,88,72,81,83,ST,4,2,Right,"181cm / 5'11""",84kg / 185lb,,30,Italy,Serie A Enilive,Como,Power Header,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/andrea-belotti/208596,,,,,
659,970,Andrea Colpani,78,76,76,78,78,65,70,73,79,77,76,78,75,75,70,76,74,76,81,77,79,80,73,66,76,81,75,62,67,62,69,69,75,79,69,58,CAM,3,3,Left,"184cm / 6'0""",75kg / 165lb,RM,25,Italy,Serie A Enilive,Fiorentina,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/andrea-colpani/251988,,,,,
666,970,Berat Djimsiti,78,65,39,59,48,80,79,63,66,55,36,52,30,32,38,56,53,30,67,68,42,34,40,45,74,64,74,79,83,80,80,77,86,73,80,81,CB,3,2,Right,"190cm / 6'3""",83kg / 183lb,,31,Albania,Serie A Enilive,Bergamo Calcio,"Aerial, Intercept, Power Header",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/berat-djimsiti/208165,,,,,
678,970,Francisco Conceição,78,87,67,71,83,36,50,88,87,71,68,72,59,67,59,71,74,48,73,69,73,84,93,91,79,80,72,31,36,34,41,37,54,69,40,49,RM,2,4,Left,"168cm / 5'6""",61kg / 134lb,RW,21,Portugal,Serie A Enilive,Juventus,Technical,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/francisco-conceicao/261050,,,,,
685,970,Federico Gatti,78,75,37,51,61,80,76,73,77,45,30,58,29,32,43,40,34,36,66,61,34,57,56,59,73,66,75,78,80,80,81,78,87,67,78,80,CB,3,2,Right,"190cm / 6'3""",80kg / 176lb,,26,Italy,Serie A Enilive,Juventus,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/federico-gatti/266872,,,,,
703,970,Isak Hien,78,70,37,49,56,78,78,63,75,39,30,49,39,33,45,49,28,25,62,58,29,54,48,47,73,61,58,79,73,80,79,74,84,51,90,82,CB,3,2,Right,"191cm / 6'3""",90kg / 198lb,,25,Sweden,Serie A Enilive,Bergamo Calcio,"Aerial, Bruiser, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/isak-hien/260697,,,,,
714,970,Pierre Kalulu,78,78,50,68,69,79,74,75,80,60,43,66,51,44,49,59,70,44,78,65,65,64,68,69,78,74,77,78,76,80,80,79,85,69,74,77,CB,3,2,Right,"182cm / 6'0""",80kg / 176lb,RB,24,France,Serie A Enilive,Juventus,Block,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/pierre-kalulu/255654,,,,,
717,970,Moise Kean,78,84,76,58,76,40,75,82,85,81,77,84,66,72,65,58,48,44,68,46,69,77,78,79,72,75,72,31,79,40,36,30,91,77,78,60,ST,3,3,Right,"183cm / 6'0""",72kg / 159lb,,24,Italy,Serie A Enilive,Fiorentina,"Chip Shot, Flair",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/moise-kean/236610,,,,,
732,970,Weston McKennie,78,76,73,77,78,79,80,75,76,78,71,76,73,76,61,76,78,63,78,77,78,80,68,71,78,81,78,77,84,77,80,76,90,81,78,81,CM,3,3,Right,"180cm / 5'11""",86kg / 190lb,CDM,26,United States,Serie A Enilive,Juventus,Long Throw,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/weston-mc-kennie/238744,,,,,
733,970,Scott McTominay,78,55,78,71,73,75,84,53,56,80,77,86,77,75,60,65,66,60,75,79,69,76,55,47,77,78,70,76,81,72,77,73,83,82,83,90,CDM,3,3,Right,"193cm / 6'4""",88kg / 194lb,CM,27,Scotland,Serie A Enilive,SSC Napoli,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/scott-mc-tominay/237238,,,,,
747,970,Noah Okafor,78,88,77,72,83,31,73,89,87,79,80,75,73,81,70,75,75,63,72,64,78,84,87,71,76,83,78,20,63,38,25,20,86,68,82,53,ST,4,4,Right,"185cm / 6'1""",85kg / 187lb,"LW, CAM",24,Switzerland,Serie A Enilive,Milano FC,"First Touch, Quick Step, Rapid",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/noah-okafor/242530,,,,,
753,970,Leandro Paredes,78,62,64,83,78,71,77,62,62,62,50,86,72,71,64,82,77,78,86,85,83,78,68,75,68,84,82,72,56,70,76,76,70,74,75,88,CM,4,4,Right,"180cm / 5'11""",75kg / 165lb,CDM,30,Argentina,Serie A Enilive,AS Roma,"Slide Tackle, Tiki Taka, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/leandro-paredes/207439,,,,,
757,970,Stefan Posch,78,75,55,68,65,79,75,71,78,71,52,63,54,51,38,55,73,45,74,70,65,65,36,60,75,72,70,77,80,79,80,79,86,70,77,73,RB,3,2,Right,"190cm / 6'3""",82kg / 181lb,,27,Austria,Serie A Enilive,Bologna,"Block, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/stefan-posch/223671,,,,,
763,970,Giacomo Raspadori,78,79,77,68,82,27,56,83,76,78,80,73,75,76,76,73,54,60,78,58,69,84,75,85,76,83,77,18,69,24,23,21,70,65,48,59,CAM,5,4,Right,"172cm / 5'8""",69kg / 152lb,"ST, LW",24,Italy,Serie A Enilive,SSC Napoli,"Finesse Shot, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/giacomo-raspadori/253002,,,,,
772,970,Nicolò Rovella,78,77,63,76,77,75,73,75,79,68,52,72,76,68,60,77,67,71,81,79,74,75,79,76,74,80,74,74,56,75,79,79,70,88,63,80,CM,4,3,Right,"179cm / 5'10""",70kg / 154lb,CDM,22,Italy,Serie A Enilive,Latium,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nicolo-rovella/255001,,,,,
773,970,Mathew Ryan,78,76,78,80,79,52,77,52,52,15,14,60,18,17,26,68,25,15,48,48,28,18,55,51,69,32,64,20,12,14,21,22,74,35,64,34,GK,4,1,Right,"182cm / 6'0""",82kg / 181lb,,32,Australia,Serie A Enilive,AS Roma,Far Throw,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mathew-ryan/199005,76,78,80,77,79
774,970,Alexis Saelemaekers,78,80,67,75,81,64,64,83,77,74,68,64,74,65,44,71,80,67,77,70,76,81,87,77,76,81,74,65,45,68,66,61,65,78,56,68,LM,4,4,Right,"180cm / 5'11""",72kg / 159lb,"RM, RW, LW",25,Belgium,Serie A Enilive,AS Roma,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexis-saelemaekers/242664,,,,,
776,970,Giorgio Scalvini,78,55,35,57,61,80,73,56,55,28,23,57,39,39,35,61,38,22,72,62,35,56,48,42,77,70,72,81,73,79,82,80,75,64,75,81,CB,3,2,Right,"194cm / 6'4""",75kg / 165lb,,20,Italy,Serie A Enilive,Bergamo Calcio,"Aerial, Anticipate, Block, Bruiser, Intercept",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/giorgio-scalvini/265188,,,,,
788,970,Malick Thiaw,78,73,47,69,72,77,78,72,73,42,43,56,46,44,64,65,55,44,81,78,58,70,67,61,78,77,78,79,78,75,78,77,88,68,82,80,CB,4,2,Right,"194cm / 6'4""",89kg / 196lb,,23,Germany,Serie A Enilive,Milano FC,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/malick-thiaw/256261,,,,,
789,970,Khéphren Thuram,78,71,71,77,78,76,78,73,70,77,72,74,69,55,59,78,72,56,82,78,72,80,71,68,77,80,78,76,76,77,77,74,87,80,80,70,CM,3,3,Right,"192cm / 6'4""",80kg / 176lb,CDM,23,France,Serie A Enilive,Juventus,"Pinged Pass, Press Proven, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/khephren-thuram/247246,,,,,
796,970,Matías Vecino,78,58,73,75,76,79,79,57,58,79,68,82,77,68,56,79,69,58,79,75,64,76,67,64,78,80,80,82,83,77,77,76,85,72,81,81,CM,3,3,Right,"187cm / 6'2""",81kg / 179lb,CDM,33,Uruguay,Serie A Enilive,Latium,"Power Header, Power Shot",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/matias-vecino/219985,,,,,
803,970,Nicolò Zaniolo,78,75,76,74,76,60,83,72,77,79,75,84,77,64,60,76,73,60,77,73,74,77,66,69,80,80,74,62,64,54,63,58,75,75,86,87,RM,2,4,Left,"190cm / 6'3""",79kg / 174lb,"RW, ST",25,Italy,Serie A Enilive,Bergamo Calcio,"Power Shot, Rapid",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nicolo-zaniolo/238067,,,,,
808,1218,Yacine Adli,77,70,69,80,77,71,70,72,69,71,66,72,74,68,60,80,74,75,81,85,77,77,71,69,77,80,81,71,62,72,74,67,73,69,69,75,CDM,3,3,Right,"186cm / 6'1""",78kg / 172lb,"CM, CAM",24,France,Serie A Enilive,Fiorentina,Long Ball Pass,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yacine-adli/243627,,,,,
826,1218,Sam Beukema,77,49,55,60,62,78,76,39,58,57,50,67,63,34,47,52,41,50,73,74,44,59,51,57,76,66,72,79,80,77,79,76,76,70,79,77,CB,3,2,Right,"188cm / 6'2""",77kg / 170lb,,25,Holland,Serie A Enilive,Bologna,"Long Ball Pass, Power Header",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sam-beukema/262394,,,,,
829,1218,Yann Aurel Bisseck,77,75,54,63,70,76,83,74,75,48,50,65,55,44,49,58,54,38,75,68,52,68,62,70,78,72,74,75,77,75,77,73,91,78,87,77,CB,3,2,Right,"196cm / 6'5""",87kg / 192lb,,23,Germany,Serie A Enilive,Lombardia FC,"Anticipate, Bruiser",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yann-aurel-bisseck/241736,,,,,
840,1218,Andrea Cambiaso,77,78,61,76,77,72,66,78,78,72,56,71,64,65,46,73,78,60,79,75,72,78,75,74,75,79,74,70,62,70,78,77,73,72,61,69,RB,5,3,Left,"182cm / 6'0""",77kg / 170lb,"LB, RM",24,Italy,Serie A Enilive,Juventus,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/andrea-cambiaso/258966,,,,,
841,1218,Gianluca Caprari,77,77,74,76,80,36,49,78,77,76,72,75,74,75,75,75,74,75,77,73,83,80,85,82,75,80,71,35,58,33,33,34,61,67,43,39,CAM,4,3,Right,"176cm / 5'9""",72kg / 159lb,ST,31,Italy,Serie A Enilive,Monza,"Finesse Shot, First Touch, Flair, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gianluca-caprari/202848,,,,,
846,1218,Nicolò Casale,77,74,53,66,68,77,77,70,77,54,47,72,48,47,52,63,69,44,70,63,60,70,59,60,78,67,75,77,77,77,77,77,86,67,81,78,CB,3,2,Right,"191cm / 6'3""",80kg / 176lb,,26,Italy,Serie A Enilive,Bologna,"Block, Slide Tackle",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nicolo-casale/239770,,,,,
848,1218,Gaetano Castrovilli,77,69,67,76,82,66,65,71,67,78,69,65,67,58,56,76,75,45,82,78,64,82,83,80,78,83,77,68,50,64,70,70,66,70,63,63,CM,3,4,Right,"187cm / 6'2""",71kg / 157lb,,27,Italy,Serie A Enilive,Latium,"Flair, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gaetano-castrovilli/225014,,,,,
849,1218,Danilo Cataldi,77,68,71,77,78,73,71,72,64,67,66,82,79,65,52,77,69,80,81,76,79,77,73,78,80,79,79,76,66,75,73,71,74,75,67,75,CDM,4,3,Right,"180cm / 5'11""",70kg / 154lb,CM,30,Italy,Serie A Enilive,Fiorentina,Relentless,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/danilo-cataldi/211361,,,,,
855,1218,Patrick Ciurria,77,81,72,77,77,53,58,77,84,72,69,75,78,72,66,78,72,70,81,73,76,76,80,77,76,77,75,53,55,54,53,51,63,78,49,52,RM,4,3,Left,"178cm / 5'10""",67kg / 148lb,"LM, CAM, RW",29,Italy,Serie A Enilive,Monza,Rapid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/patrick-ciurria/219812,,,,,
858,1218,Dodô,77,85,59,73,78,71,70,83,86,78,60,66,50,49,50,72,78,52,77,66,71,77,80,85,75,79,76,72,55,73,74,70,74,77,65,73,RB,3,3,Right,"166cm / 5'5""",68kg / 150lb,,25,Brazil,Serie A Enilive,Fiorentina,Rapid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dodo/234112,,,,,
860,1218,Thijs Dallinga,77,72,77,65,72,30,67,69,74,83,81,75,70,70,69,74,49,51,73,58,65,70,53,65,78,79,80,29,82,23,24,23,82,76,70,42,ST,4,2,Right,"190cm / 6'3""",72kg / 159lb,,24,Holland,Serie A Enilive,Bologna,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/thijs-dallinga/252021,,,,,
882,1218,Angeliño,77,63,70,81,81,73,66,80,49,75,68,80,67,63,55,77,86,76,80,80,83,82,84,85,73,80,79,75,63,73,74,72,70,84,53,76,LB,3,4,Left,"171cm / 5'7""",69kg / 152lb,LM,27,Spain,Serie A Enilive,AS Roma,Whipped Pass,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/angelino/220651,,,,,
